,Scout Name,Match Number,Dead,No Show,Team Number,Cross Auto,Switch Auto,Scale Auto,Auto Other,Tele-Switch,Tele-Scale,Tele-Portal,Tele-Switch-#,Tele-Scale-#,Tele-Portal-#,Climb-True,Tech-fouls,Attempted,Penalties,Climb-No
H8_ (44).pdf,Claire,55,FALSE,FALSE,3653,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,1,0,8,FALSE,,FALSE,,TRUE
H8_ (45).pdf,Claire,56,FALSE,FALSE,3242,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,0,0,5,FALSE,,FALSE,,TRUE
H8_ (46).pdf,Barb,59,FALSE,FALSE,5949,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,3,0,3,FALSE,,FALSE,,TRUE
H8_ (47).pdf,Claire,58,FALSE,FALSE,7194,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,1,0,0,FALSE,,FALSE,,TRUE
H8_ (48).pdf,Claire,57,FALSE,FALSE,1477,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,TRUE
H8_ (5).pdf,Azalia,16,FALSE,FALSE,1065,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,0,3,3,FALSE,,FALSE,,TRUE
H8_ (6).pdf,Azalia,17,FALSE,FALSE,2383,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,1,3,0,FALSE,,FALSE,"Hit scale
*not a penalty but it fell over
",FALSE
,,,,,,,,,,,,,,,,,,,,
H8_ (8).pdf,Michael,28,FALSE,FALSE,5606,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,0,1,3,FALSE,,FALSE,,TRUE
H8_ (9).pdf,Michael,29,FALSE,FALSE,21,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE,0,3,0,TRUE,,FALSE,,FALSE
H3_ (1).pdf,Joey,1,FALSE,FALSE,5773,FALSE,FALSE,FALSE,It kinda just went in circles ,FALSE,FALSE,FALSE,0,0,0,FALSE,,TRUE,,TRUE
H3_ (10).pdf,Barb,16,FALSE,FALSE,5410,TRUE,TRUE,FALSE,,FALSE,FALSE,TRUE,0,0,5,FALSE,,FALSE,,TRUE
H3_ (11).pdf,Barb,17,FALSE,FALSE,1876,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,1,5,0,TRUE,,FALSE,,FALSE
H3_ (12).pdf,Barb,18,FALSE,FALSE,5283,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,3,0,0,FALSE,,FALSE,,TRUE
H3_ (13).pdf,Barb,19,FALSE,FALSE,1523,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,0,0,9,FALSE,,FALSE,,TRUE
H3_ (14).pdf,Barb,20,FALSE,FALSE,1251,TRUE,FALSE,FALSE,Fell over,TRUE,TRUE,FALSE,4,1,0,FALSE,1,FALSE,,TRUE
H3_ (15).pdf,Barb,21,FALSE,FALSE,7215,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,1,0,0,FALSE,,FALSE,,TRUE
H3_ (16).pdf,Barb,22,FALSE,FALSE,2152,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,1,3,0,FALSE,,FALSE,,TRUE
H3_ (17).pdf,Barb,23,FALSE,FALSE,3653,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,0,0,5,FALSE,,FALSE,,FALSE
H3_ (18).pdf,Azalia,25,FALSE,FALSE,45627,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,FALSE
H3_ (19).pdf,Azalia,24,FALSE,FALSE,59,TRUE,FALSE,FALSE,,FALSE,TRUE,TRUE,0,3,3,FALSE,,FALSE,,TRUE
H3_ (2).pdf,Joey,2,FALSE,FALSE,4562,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,0,1,0,FALSE,,TRUE,,FALSE
H3_ (20).pdf,Azalia,25,TRUE,FALSE,4562,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,0,0,0,FALSE,,FALSE,,FALSE
H3_ (21).pdf,Azalia,26,FALSE,FALSE,2797,TRUE,FALSE,FALSE,,FALSE,TRUE,FALSE,0,3,0,FALSE,,FALSE,,TRUE
